image,suspected_duplicate,duplicate_type,similarity_score,recommended_action
Healthy\Image_071.jpg,Healthy\Image_SetB072.jpg,exact,0,remove (keep anchor)
Healthy\Image_073.jpg,Healthy\Image_074.jpg,exact,0,remove (keep anchor)
Healthy\Image_073.jpg,Healthy\Image_SetA073.jpg,exact,0,remove (keep anchor)
Healthy\Image_073.jpg,Healthy\Image_SetA074.jpg,exact,0,remove (keep anchor)
Healthy\Image_073.jpg,Healthy\Image_SetB073.jpg,exact,0,remove (keep anchor)
Healthy\Image_073.jpg,Healthy\Image_SetB074.jpg,exact,0,remove (keep anchor)
Healthy\Image_075.jpg,Healthy\Image_076.jpg,exact,0,remove (keep anchor)
Healthy\Image_075.jpg,Healthy\Image_SetA075.jpg,exact,0,remove (keep anchor)
Healthy\Image_075.jpg,Healthy\Image_SetA076.jpg,exact,0,remove (keep anchor)
Healthy\Image_075.jpg,Healthy\Image_SetB075.jpg,exact,0,remove (keep anchor)
Healthy\Image_075.jpg,Healthy\Image_SetB076.jpg,exact,0,remove (keep anchor)
Healthy\Image_077.jpg,Healthy\Image_078.jpg,exact,0,remove (keep anchor)
Healthy\Image_077.jpg,Healthy\Image_SetA077.jpg,exact,0,remove (keep anchor)
Healthy\Image_077.jpg,Healthy\Image_SetA078.jpg,exact,0,remove (keep anchor)
Healthy\Image_077.jpg,Healthy\Image_SetB077.jpg,exact,0,remove (keep anchor)
Healthy\Image_077.jpg,Healthy\Image_SetB078.jpg,exact,0,remove (keep anchor)
Healthy\Image_079.jpg,Healthy\Image_080.jpg,exact,0,remove (keep anchor)
Healthy\Image_079.jpg,Healthy\Image_SetA079.jpg,exact,0,remove (keep anchor)
Healthy\Image_079.jpg,Healthy\Image_SetA080.jpg,exact,0,remove (keep anchor)
Healthy\Image_079.jpg,Healthy\Image_SetB079.jpg,exact,0,remove (keep anchor)
Healthy\Image_079.jpg,Healthy\Image_SetB080.jpg,exact,0,remove (keep anchor)
Healthy\Image_081.jpg,Healthy\Image_082.jpg,exact,0,remove (keep anchor)
Healthy\Image_081.jpg,Healthy\Image_SetA081.jpg,exact,0,remove (keep anchor)
Healthy\Image_081.jpg,Healthy\Image_SetA082.jpg,exact,0,remove (keep anchor)
Healthy\Image_081.jpg,Healthy\Image_SetB081.jpg,exact,0,remove (keep anchor)
Healthy\Image_081.jpg,Healthy\Image_SetB082.jpg,exact,0,remove (keep anchor)
Healthy\Image_083.jpg,Healthy\Image_084.jpg,exact,0,remove (keep anchor)
Healthy\Image_083.jpg,Healthy\Image_SetA083.jpg,exact,0,remove (keep anchor)
Healthy\Image_083.jpg,Healthy\Image_SetA084.jpg,exact,0,remove (keep anchor)
Healthy\Image_083.jpg,Healthy\Image_SetB083.jpg,exact,0,remove (keep anchor)
Healthy\Image_083.jpg,Healthy\Image_SetB084.jpg,exact,0,remove (keep anchor)
Healthy\Image_085.jpg,Healthy\Image_086.jpg,exact,0,remove (keep anchor)
Healthy\Image_085.jpg,Healthy\Image_SetA085.jpg,exact,0,remove (keep anchor)
Healthy\Image_085.jpg,Healthy\Image_SetA086.jpg,exact,0,remove (keep anchor)
Healthy\Image_085.jpg,Healthy\Image_SetB085.jpg,exact,0,remove (keep anchor)
Healthy\Image_085.jpg,Healthy\Image_SetB086.jpg,exact,0,remove (keep anchor)
Healthy\Image_087.jpg,Healthy\Image_088.jpg,exact,0,remove (keep anchor)
Healthy\Image_087.jpg,Healthy\Image_SetA087.jpg,exact,0,remove (keep anchor)
Healthy\Image_087.jpg,Healthy\Image_SetA088.jpg,exact,0,remove (keep anchor)
Healthy\Image_087.jpg,Healthy\Image_SetB087.jpg,exact,0,remove (keep anchor)
Healthy\Image_087.jpg,Healthy\Image_SetB088.jpg,exact,0,remove (keep anchor)
Healthy\Image_089.jpg,Healthy\Image_090.jpg,exact,0,remove (keep anchor)
Healthy\Image_089.jpg,Healthy\Image_SetA089.jpg,exact,0,remove (keep anchor)
Healthy\Image_089.jpg,Healthy\Image_SetA090.jpg,exact,0,remove (keep anchor)
Healthy\Image_089.jpg,Healthy\Image_SetB089.jpg,exact,0,remove (keep anchor)
Healthy\Image_089.jpg,Healthy\Image_SetB090.jpg,exact,0,remove (keep anchor)
Healthy\Image_091.jpg,Healthy\Image_092.jpg,exact,0,remove (keep anchor)
Healthy\Image_091.jpg,Healthy\Image_SetA091.jpg,exact,0,remove (keep anchor)
Healthy\Image_091.jpg,Healthy\Image_SetA092.jpg,exact,0,remove (keep anchor)
Healthy\Image_091.jpg,Healthy\Image_SetB091.jpg,exact,0,remove (keep anchor)
Healthy\Image_091.jpg,Healthy\Image_SetB092.jpg,exact,0,remove (keep anchor)
Healthy\Image_093.jpg,Healthy\Image_094.jpg,exact,0,remove (keep anchor)
Healthy\Image_093.jpg,Healthy\Image_SetA093.jpg,exact,0,remove (keep anchor)
Healthy\Image_093.jpg,Healthy\Image_SetA094.jpg,exact,0,remove (keep anchor)
Healthy\Image_093.jpg,Healthy\Image_SetB093.jpg,exact,0,remove (keep anchor)
Healthy\Image_093.jpg,Healthy\Image_SetB094.jpg,exact,0,remove (keep anchor)
Healthy\Image_095.jpg,Healthy\Image_096.jpg,exact,0,remove (keep anchor)
Healthy\Image_095.jpg,Healthy\Image_SetA095.jpg,exact,0,remove (keep anchor)
Healthy\Image_095.jpg,Healthy\Image_SetA096.jpg,exact,0,remove (keep anchor)
Healthy\Image_095.jpg,Healthy\Image_SetB095.jpg,exact,0,remove (keep anchor)
Healthy\Image_095.jpg,Healthy\Image_SetB096.jpg,exact,0,remove (keep anchor)
Healthy\Image_097.jpg,Healthy\Image_098.jpg,exact,0,remove (keep anchor)
Healthy\Image_097.jpg,Healthy\Image_SetA097.jpg,exact,0,remove (keep anchor)
Healthy\Image_097.jpg,Healthy\Image_SetA098.jpg,exact,0,remove (keep anchor)
Healthy\Image_097.jpg,Healthy\Image_SetB097.jpg,exact,0,remove (keep anchor)
Healthy\Image_097.jpg,Healthy\Image_SetB098.jpg,exact,0,remove (keep anchor)
Healthy\Image_099.jpg,Healthy\Image_100.jpg,exact,0,remove (keep anchor)
Healthy\Image_099.jpg,Healthy\Image_SetA099.jpg,exact,0,remove (keep anchor)
Healthy\Image_099.jpg,Healthy\Image_SetA100.jpg,exact,0,remove (keep anchor)
Healthy\Image_099.jpg,Healthy\Image_SetB099.jpg,exact,0,remove (keep anchor)
Healthy\Image_099.jpg,Healthy\Image_SetB100.jpg,exact,0,remove (keep anchor)
Healthy\Image_1000.jpg,Healthy\Image_999.jpg,exact,0,remove (keep anchor)
Healthy\Image_1000.jpg,Healthy\Image_resize_671  (552).jpg,exact,0,remove (keep anchor)
Healthy\Image_1000.jpg,Healthy\Image_SetA1000.jpg,exact,0,remove (keep anchor)
Healthy\Image_1000.jpg,Healthy\Image_SetA999.jpg,exact,0,remove (keep anchor)
Healthy\Image_1000.jpg,Healthy\Image_SetB1000.jpg,exact,0,remove (keep anchor)
Healthy\Image_1000.jpg,Healthy\Image_SetB999.jpg,exact,0,remove (keep anchor)
Healthy\Image_1001.jpg,Healthy\Image_1002.jpg,exact,0,remove (keep anchor)
Healthy\Image_1001.jpg,Healthy\Image_SetA1001.jpg,exact,0,remove (keep anchor)
Healthy\Image_1001.jpg,Healthy\Image_SetA1002.jpg,exact,0,remove (keep anchor)
Healthy\Image_1001.jpg,Healthy\Image_SetB1001.jpg,exact,0,remove (keep anchor)
Healthy\Image_1001.jpg,Healthy\Image_SetB1002.jpg,exact,0,remove (keep anchor)
Healthy\Image_1003.jpg,Healthy\Image_1004.jpg,exact,0,remove (keep anchor)
Healthy\Image_1003.jpg,Healthy\Image_SetA1003.jpg,exact,0,remove (keep anchor)
Healthy\Image_1003.jpg,Healthy\Image_SetA1004.jpg,exact,0,remove (keep anchor)
Healthy\Image_1003.jpg,Healthy\Image_SetB1003.jpg,exact,0,remove (keep anchor)
Healthy\Image_1003.jpg,Healthy\Image_SetB1004.jpg,exact,0,remove (keep anchor)
Healthy\Image_1005.jpg,Healthy\Image_1006.jpg,exact,0,remove (keep anchor)
Healthy\Image_1005.jpg,Healthy\Image_SetA1005.jpg,exact,0,remove (keep anchor)
Healthy\Image_1005.jpg,Healthy\Image_SetA1006.jpg,exact,0,remove (keep anchor)
Healthy\Image_1005.jpg,Healthy\Image_SetB1005.jpg,exact,0,remove (keep anchor)
